"hhid","hhsize","adult","child","poly","boy","girl","otheradult","porl_hh","spouseabroad_hh","mealdata_hhmin","hh_kcal","hh_protein","hh_fat","hh_carb","hh_calcium","hh_iron","sampletype","AE_OECD","agehead","sexhead","maritalhead","abroadhead","lithead","noschoolhead","secondschoolhead","agworkhead","BMIhead","I_kcalhead","agespouse","sexspouse","abroadspouse","litspouse","noschoolspouse","secondschoolspouse","agworkspouse","BMIspouse","I_kcalspouse","nonfoodexp_hhwk","nonfoodexp_hhwk_pc","nonfoodexp_hhwk_AE_OECD","foodpurch_hhwk","foodprod_hhwk","foodother_hhwk","foodtot_hhwk","foodpurch_hhwk_pc","foodpurch_hhwk_AE_OECD","foodtot_hhwk_pc","foodtot_hhwk_AE_OECD","foodshare","totexp_hhwk","hhds","nofood","hungrynight","hungryday","nonag_income","""hhid""","purchase_val","curr_val","ag_purchase_val","ag_curr_val","anysaving_pastyr","anysaving_curr","total_saving","anyloan","anyloan_curr","total_loan","market_val","area_planted","agsales","store_capacity_kg","nmo_anygrain","profit_12mon","hh_lat","treated_drinkwater","negshock_no","negshock_val","posshock_no","posshock_val","prog_ct","cash_received","inkind_val","tot_othinc","visit_sixmo","health_org","num_visited_sixmo","any_advice","advice1","advice2","advice3","advice4","any_grpdiscuss","discuss_topics1","discuss_topics2","discuss_topics3","discuss_topics4","dvcode","vcode","aeu","hhweightR1","popweightR1","hhsize_India_grp","hhsize_FAO_sample","hhsize_FAO_age","hhsize_FAO_grp","hhsize_IOM_grp","hhsize_IOM_sample"
4668,4,2,2,0,1,1,0,1,0,0,7014.69351716273,433.58297930892,385.245983545804,991.553267689329,5113.59462020971,244.519630236273,2,2.1,33,1,2,0,1,0,0,1,19.383492039595,2975.49880871457,27,2,0,1,0,0,1,18.1947776063363,2095.73018257951,605.365384615385,151.341346153846,288.269230769231,423,335.6,320,758.6,105.75,201.428571428571,189.65,361.238095238095,0.5561724722317,1363.96538461538,8,0,0,0,3500,NA,NA,NA,NA,NA,1,1,3100,0,0,0,1130000,102,7700,800,12,0,1,0,NA,NA,1,0,1,900,0,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,2.7399999499321,5917.39990234375,23669.599609375,3.1,2.41802359559179,2.79205721394562,2.83583106654542,2.65904815550148,2.33357930806751
4669,4,4,0,0,0,0,2,0,0,9,8751.50249700019,456.527185884231,276.074136429537,1360.75669116887,5279.70861353195,101.728121515024,2,2.5,48,1,2,0,1,0,0,0,19.0033228064957,2567.7502766162,38,2,0,1,0,0,1,19.4359109037768,2041.45309831792,839.019230769231,209.754807692308,335.607692307692,821,577.1,26,1398.1,205.25,328.4,349.525,559.24,0.624955514561137,2237.11923076923,10,0,0,0,7750,NA,NA,NA,NA,NA,1,1,7500,1,1,25000,550000,49.5,0,800,12,42200,1,0,NA,NA,1,2100,2,2100,250,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,3.70999991893768,5917.39990234375,23669.599609375,3.7,3.04639891285947,3.50859818094996,3.50416500188448,3.4284546219031,2.86450569765157
4670,3,2,1,0,0,1,0,0,0,2,5157.53773488477,237.144459283094,114.178466179656,905.508565276374,2485.60870864401,63.4361042692143,2,1.8,40,1,2,0,0,1,0,1,26.8351800554017,2541.46264373301,33,2,0,1,0,0,1,24.3848947301088,2161.15485011753,739.25,246.416666666667,410.694444444444,827.699999809265,376.3,120,1203.99999980927,275.899999936422,459.83333322737,401.333333269755,668.888888782925,0.619580599473789,1943.24999980927,9,0,0,0,7675,NA,NA,NA,NA,NA,1,1,20000,0,0,0,1467000,370,67300,3500,12,0,1,1,NA,NA,1,0,1,900,0,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,2.34999996423721,5917.39990234375,17752.19921875,2.82,1.97146995429017,2.56761436479796,2.65382397299985,2.5129014415302,1.79954451536513
4671,2,2,0,0,0,0,0,0,0,12,7296.24394111212,424.603141085291,230.444923646443,1181.46183718025,4537.72793437945,116.568628857114,2,1.5,60,1,2,0,0,1,0,1,18.8290621227028,4159.1232876442,55,2,0,0,1,0,1,20.0654338298859,3137.12065346792,260.25,130.125,173.5,772,0.32,35,772.32,386,514.666666666667,386.16,514.88,0.747958976146896,1032.57,9,0,0,0,7135,NA,NA,NA,NA,NA,1,1,80000,0,0,0,1286000,78,23000,1200,11,0,1,0,1,60000,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,1.50999999046326,5917.39990234375,11834.7998046875,1.44,1.68204435210942,1.85167057005851,1.85167057005851,1.85135442137266,1.65831100170096
4672,4,4,0,0,0,0,2,0,0,7,9990.7668893166,599.974207163775,400.07636708366,1382.8296051956,7623.63169832111,152.376709947606,2,2.5,70,1,2,0,0,1,0,0,16.9321564871631,2532.33478826427,60,2,0,0,1,0,0,15.2774679912034,2006.05412277134,214.384615384615,53.5961538461538,85.7538461538462,640,0,0,640,160,256,160,256,0.749077158548663,854.384615384615,6,0,0,0,3650,NA,NA,NA,NA,NA,0,0,0,1,1,5000,165000,NA,2000,100,12,18900,1,0,NA,NA,1,900,2,1800,250,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,3.14999997615814,5917.39990234375,23669.599609375,3.21,1.65843903714893,3.24108535382636,3.24108535382636,3.30032516781362,1.58626986307327
4673,4,2,2,0,0,2,0,0,0,9,7921.28315823553,446.202990779169,426.582938312474,1209.79356858819,4894.51285970469,291.34236824198,2,2.1,55,1,2,0,0,1,0,1,19.410930791256,2293.69172024258,45,2,0,1,0,0,1,23.1639367436704,1708.74795057041,682.980769230769,170.745192307692,325.228937728938,552.89999961853,635.5,0,1188.39999961853,138.224999904633,263.285714104062,297.099999904633,565.90476172311,0.635039121594303,1871.3807688493,11,0,0,0,4620,NA,NA,NA,NA,NA,0,0,0,1,1,20000,2780500,207.5,29080,1500,12,0,1,0,NA,NA,1,600,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,3.21999996900558,5917.39990234375,23669.599609375,3.31,3.10387218910629,3.414756448776,3.38470775037678,3.07985309694295,2.78768577623368
4674,6,3,3,0,1,2,1,1,0,5,8353.53623332371,355.162430632036,390.952042792516,1487.20676513872,3044.57684993839,294.677383596585,2,2.9,45,1,2,0,1,0,1,0,NA,2013.54927979919,42,2,0,1,0,0,1,19.5447680142555,1729.36465554803,616.461538461538,102.74358974359,212.572944297082,374,817.1,0,1191.1,62.3333333333333,128.965517241379,198.516666666667,410.724137931034,0.658954051995251,1807.56153846154,9,0,0,0,8700,NA,NA,NA,NA,NA,1,1,52000,1,1,72000,3760000,786,200700,1220,12,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,4.21999990940094,5917.39990234375,35504.3984375,5.31,2.50839897469007,3.83342340161913,3.86088169450931,3.77012622636221,2.50193690789831
4675,2,2,0,0,0,0,0,0,0,7,2677.05229376834,96.9367354824088,58.0099439748016,496.73611791053,948.809491671988,27.3090879768655,2,1.5,37,1,2,0,1,0,0,0,26.6910442041882,1139.41907231438,25,2,0,1,0,1,0,21.0736346570865,1537.63322145396,400.346153846154,200.173076923077,266.897435897436,557.5,218.745,0,776.245,278.75,371.666666666667,388.1225,517.496666666667,0.659740639271795,1176.59115384615,8,0,0,0,9100,NA,NA,NA,NA,NA,1,1,25200,1,0,0,440000,54,2200,800,12,36000,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,1.84999996423721,5917.39990234375,11834.7998046875,2,1.3510389501747,1.43579646226181,1.43579646226181,1.48058456031753,1.37231386760283
4676,4,3,1,0,1,0,1,0,0,10,8039.93613683668,325.777464005982,410.056388507688,1424.9780918133,2860.5404195741,256.808343648715,2,2.3,42,1,2,0,1,0,0,1,17.6473367002589,2569.77110020469,33,2,0,1,0,0,1,26.170684913035,1829.48748769048,490.961538461538,122.740384615385,213.461538461538,477.599999904633,481.1,0,958.699999904633,119.399999976158,207.652173871579,239.674999976158,416.826086915058,0.661326781826003,1449.66153836617,8,0,0,0,5590,NA,NA,NA,NA,NA,0,0,0,1,0,0,325000,96,21100,1200,12,0,1,0,NA,NA,NA,NA,1,2100,0,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,3.25999993085861,5917.39990234375,23669.599609375,3.57,2.86904578481173,3.24475804740559,3.33941395947074,3.29721269661188,2.82247515192374
4677,6,5,1,0,0,1,3,0,0,0,9319.9848855975,516.679809564183,434.106476890165,1399.4144938716,6369.8753003089,264.395132615954,2,3.3,58,1,2,0,1,0,0,0,20.6866235491066,3128.37506793756,50,2,0,1,0,1,1,24.187769560885,2202.35127165686,1397.26923076923,232.878205128205,423.414918414918,1506,785.1,91,2291.1,251,456.363636363636,381.85,694.272727272727,0.621168830085424,3688.36923076923,9,0,0,0,29850,NA,NA,NA,NA,NA,1,1,12000,1,0,0,1580000,NA,0,1200,7,0,1,0,1,5000,1,30000,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,87431301,5.01999992132187,5917.39990234375,35504.3984375,3.26,2.69872720621518,2.91431581796306,2.91431581796306,2.86666106707403,2.54257312193805
